"unitid","institution name","year","EF2020D_RV.Full-time fall 2019 cohort","EF2020D_RV.Students from the full-time adjusted fall 2019 cohort enrolled in fall 2020","EF2020D_RV.Full-time retention rate, 2020","ADM2020_RV.Applicants total","ADM2020_RV.Enrolled total"
"208275","Blue Mountain Community College","2020","264","111","42",,
"208318","Central Oregon Community College","2020","610","303","50",,
"208390","Chemeketa Community College","2020","1350","776","57",,
"208406","Clackamas Community College","2020","778","430","55",,
"208415","Clatsop Community College","2020","102","47","46",,
"208646","Eastern Oregon University","2020","304","213","70","644","309"
"209038","Lane Community College","2020","831","468","56",,
"209074","Linn-Benton Community College","2020","818","423","52",,
"209250","Mt Hood Community College","2020","673","378","56",,
"209490","Oregon Health & Science University","2020",,,,,
"209506","Oregon Institute of Technology","2020","380","288","76","4231","462"
"209542","Oregon State University","2020","3042","2572","85","17374","3574"
"209551","University of Oregon","2020","4463","3759","84","28525","3920"
"209746","Portland Community College","2020","2175","1340","62",,
"209807","Portland State University","2020","1576","1189","75","6701","1515"
"209940","Rogue Community College","2020","519","249","48",,
"210146","Southern Oregon University","2020","622","428","68","2320","574"
"210155","Southwestern Oregon Community College","2020","404","206","51",,
"210234","Treasure Valley Community College","2020","289","130","45",,
"210270","Umpqua Community College","2020","421","189","45",,
"210429","Western Oregon University","2020","751","530","71","3565","722"
"420556","Columbia Gorge Community College","2020","97","52","54",,
"420723","Tillamook Bay Community College","2020","49","24","49",,
"423652","Oregon Coast Community College","2020","43","22","51",,
"428392","Klamath Community College","2020","226","117","52",,
"440828","Oregon State University-Cascades Campus","2020","90","66","73","1660","161"
