"unitid","institution name","year","EF2018D_RV.Full-time fall 2017 cohort","EF2018D_RV.Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018","EF2018D_RV.Full-time retention rate, 2018","ADM2018_RV.Applicants total","ADM2018_RV.Enrolled total"
"208275","Blue Mountain Community College","2018","200","155","78",,
"208318","Central Oregon Community College","2018","689","369","54",,
"208390","Chemeketa Community College","2018","1393","897","64",,
"208406","Clackamas Community College","2018","829","477","58",,
"208415","Clatsop Community College","2018","77","39","51",,
"208646","Eastern Oregon University","2018","314","214","68","1014","320"
"209038","Lane Community College","2018","932","536","58",,
"209074","Linn-Benton Community College","2018","913","503","55",,
"209250","Mt Hood Community College","2018","712","436","61",,
"209490","Oregon Health & Science University","2018",,,,,
"209506","Oregon Institute of Technology","2018","303","241","80","939","364"
"209542","Oregon State University","2018","3421","2879","84","14890","3674"
"209551","University of Oregon","2018","3863","3291","85","24474","4168"
"209746","Portland Community College","2018","1967","1239","63",,
"209807","Portland State University","2018","1803","1363","76","6743","1876"
"209940","Rogue Community College","2018","474","264","56",,
"210146","Southern Oregon University","2018","719","497","69","2779","648"
"210155","Southwestern Oregon Community College","2018","512","249","49",,
"210234","Treasure Valley Community College","2018","292","119","41",,
"210270","Umpqua Community College","2018","347","206","59",,
"210429","Western Oregon University","2018","711","490","69","3201","817"
"420556","Columbia Gorge Community College","2018","85","42","49",,
"420723","Tillamook Bay Community College","2018","72","33","46",,
"423652","Oregon Coast Community College","2018","61","30","50",,
"428392","Klamath Community College","2018","212","103","49",,
"440828","Oregon State University-Cascades Campus","2018","41","28","68","477","101"
