"unitid","institution name","year","DRVEF2018_RV.Total  enrollment","DRVEF2018_RV.Undergraduate enrollment","DRVEF2018_RV.Graduate enrollment"
"208275","Blue Mountain Community College","2018","1681","1681","0"
"208318","Central Oregon Community College","2018","4872","4872","0"
"208390","Chemeketa Community College","2018","10151","10151","0"
"208406","Clackamas Community College","2018","6064","6064","0"
"208415","Clatsop Community College","2018","815","815","0"
"208646","Eastern Oregon University","2018","2978","2744","234"
"209038","Lane Community College","2018","9029","9029","0"
"209074","Linn-Benton Community College","2018","5559","5559","0"
"209250","Mt Hood Community College","2018","8612","8612","0"
"209490","Oregon Health & Science University","2018","2999","782","2217"
"209506","Oregon Institute of Technology","2018","5335","5206","129"
"209542","Oregon State University","2018","30986","25699","5287"
"209551","University of Oregon","2018","22644","19101","3543"
"209746","Portland Community College","2018","27046","27046","0"
"209807","Portland State University","2018","25711","20357","5354"
"209940","Rogue Community College","2018","4842","4842","0"
"210146","Southern Oregon University","2018","6278","5362","916"
"210155","Southwestern Oregon Community College","2018","2157","2157","0"
"210234","Treasure Valley Community College","2018","1866","1866","0"
"210270","Umpqua Community College","2018","2703","2703","0"
"210429","Western Oregon University","2018","5185","4576","609"
"420556","Columbia Gorge Community College","2018","803","803","0"
"420723","Tillamook Bay Community College","2018","445","445","0"
"423652","Oregon Coast Community College","2018","409","409","0"
"428392","Klamath Community College","2018","1514","1514","0"
"440828","Oregon State University-Cascades Campus","2018","1259","978","281"
