"unitid","institution name","year","EF2017D_RV.Full-time fall 2016 cohort","EF2017D_RV.Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017","EF2017D_RV.Full-time retention rate, 2017","ADM2017_RV.Applicants total","ADM2017_RV.Enrolled total"
"208275","Blue Mountain Community College","2017","354","94","27",,
"208318","Central Oregon Community College","2017","752","428","57",,
"208390","Chemeketa Community College","2017","738","411","56",,
"208406","Clackamas Community College","2017","532","302","57",,
"208415","Clatsop Community College","2017","94","41","44",,
"208646","Eastern Oregon University","2017","325","221","68","1011","327"
"209038","Lane Community College","2017","757","405","54",,
"209074","Linn-Benton Community College","2017","1016","563","55",,
"209250","Mt Hood Community College","2017","829","497","60",,
"209490","Oregon Health & Science University","2017",,,,,
"209506","Oregon Institute of Technology","2017","346","275","79","1314","334"
"209542","Oregon State University","2017","3523","2989","85","14888","3819"
"209551","University of Oregon","2017","3942","3394","86","20317","3938"
"209746","Portland Community College","2017","1858","1240","67",,
"209807","Portland State University","2017","1557","1115","72","6815","1929"
"209940","Rogue Community College","2017","406","216","53",,
"210146","Southern Oregon University","2017","652","470","72","2779","723"
"210155","Southwestern Oregon Community College","2017","443","240","54",,
"210234","Treasure Valley Community College","2017","333","163","49",,
"210270","Umpqua Community College","2017","107","50","47",,
"210429","Western Oregon University","2017","860","621","72","2942","727"
"420556","Columbia Gorge Community College","2017","109","55","50",,
"420723","Tillamook Bay Community College","2017","65","25","38",,
"423652","Oregon Coast Community College","2017","59","25","42",,
"428392","Klamath Community College","2017","230","107","47",,
"440828","Oregon State University-Cascades Campus","2017","24","19","79","388","81"
