"unitid","institution name","year","DRVEF2019_RV.Total  enrollment","DRVEF2019_RV.Undergraduate enrollment","DRVEF2019_RV.Graduate enrollment"
"208275","Blue Mountain Community College","2019","1559","1559","0"
"208318","Central Oregon Community College","2019","4818","4818","0"
"208390","Chemeketa Community College","2019","9347","9347","0"
"208406","Clackamas Community College","2019","6270","6270","0"
"208415","Clatsop Community College","2019","786","786","0"
"208646","Eastern Oregon University","2019","3067","2867","200"
"209038","Lane Community College","2019","8861","8861","0"
"209074","Linn-Benton Community College","2019","5533","5533","0"
"209250","Mt Hood Community College","2019","7463","7463","0"
"209490","Oregon Health & Science University","2019","3017","776","2241"
"209506","Oregon Institute of Technology","2019","5313","5172","141"
"209542","Oregon State University","2019","31719","26247","5472"
"209551","University of Oregon","2019","22517","18888","3629"
"209746","Portland Community College","2019","27650","27650","0"
"209807","Portland State University","2019","25321","20320","5001"
"209940","Rogue Community College","2019","4634","4634","0"
"210146","Southern Oregon University","2019","6093","5088","1005"
"210155","Southwestern Oregon Community College","2019","2053","2053","0"
"210234","Treasure Valley Community College","2019","1721","1721","0"
"210270","Umpqua Community College","2019","2284","2284","0"
"210429","Western Oregon University","2019","4929","4343","586"
"420556","Columbia Gorge Community College","2019","773","773","0"
"420723","Tillamook Bay Community College","2019","521","521","0"
"423652","Oregon Coast Community College","2019","452","452","0"
"428392","Klamath Community College","2019","1715","1715","0"
"440828","Oregon State University-Cascades Campus","2019","1311","1026","285"
