"unitid","institution name","year","DRVEF2020_RV.Total  enrollment","DRVEF2020_RV.Undergraduate enrollment","DRVEF2020_RV.Graduate enrollment"
"208275","Blue Mountain Community College","2020","1292","1292","0"
"208318","Central Oregon Community College","2020","4304","4304","0"
"208390","Chemeketa Community College","2020","8328","8328","0"
"208406","Clackamas Community College","2020","5555","5555","0"
"208415","Clatsop Community College","2020","754","754","0"
"208646","Eastern Oregon University","2020","2853","2586","267"
"209038","Lane Community College","2020","7702","7702","0"
"209074","Linn-Benton Community College","2020","4956","4956","0"
"209250","Mt Hood Community College","2020","6812","6812","0"
"209490","Oregon Health & Science University","2020","3035","809","2226"
"209506","Oregon Institute of Technology","2020","5323","5184","139"
"209542","Oregon State University","2020","32312","26644","5668"
"209551","University of Oregon","2020","21752","18045","3707"
"209746","Portland Community College","2020","22904","22904","0"
"209807","Portland State University","2020","23640","18656","4984"
"209940","Rogue Community College","2020","3413","3413","0"
"210146","Southern Oregon University","2020","5140","4518","622"
"210155","Southwestern Oregon Community College","2020","1541","1541","0"
"210234","Treasure Valley Community College","2020","1470","1470","0"
"210270","Umpqua Community College","2020","2140","2140","0"
"210429","Western Oregon University","2020","4554","4070","484"
"420556","Columbia Gorge Community College","2020","825","825","0"
"420723","Tillamook Bay Community College","2020","497","497","0"
"423652","Oregon Coast Community College","2020","417","417","0"
"428392","Klamath Community College","2020","1492","1492","0"
"440828","Oregon State University-Cascades Campus","2020","1374","1050","324"
