"unitid","institution name","year","EF2015D_RV.Full-time fall 2014 cohort","EF2015D_RV.Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015","EF2015D_RV.Full-time retention rate, 2015","ADM2015_RV.Applicants total","ADM2015_RV.Enrolled total"
"208275","Blue Mountain Community College","2015","230","120","52",,
"208318","Central Oregon Community College","2015","473","263","56",,
"208390","Chemeketa Community College","2015","785","424","54",,
"208406","Clackamas Community College","2015","701","402","57",,
"208415","Clatsop Community College","2015","66","29","44",,
"208646","Eastern Oregon University","2015","282","160","57","994","325"
"209038","Lane Community College","2015","656","386","59",,
"209074","Linn-Benton Community College","2015","625","311","50",,
"209250","Mt Hood Community College","2015","897","506","56",,
"209490","Oregon Health & Science University","2015",,,,,
"209506","Oregon Institute of Technology","2015","328","255","78","1487","347"
"209542","Oregon State University","2015","3453","2927","85","14058","3593"
"209551","University of Oregon","2015","3895","3410","88","22000","4133"
"209746","Portland Community College","2015","1043","610","59",,
"209807","Portland State University","2015","1571","1107","71","6299","1744"
"209940","Rogue Community College","2015","313","164","52",,
"210146","Southern Oregon University","2015","630","453","72","2411","823"
"210155","Southwestern Oregon Community College","2015","466","275","59",,
"210234","Treasure Valley Community College","2015","382","196","51",,
"210270","Umpqua Community College","2015","98","43","44",,
"210429","Western Oregon University","2015","834","578","69","3327","944"
"420556","Columbia Gorge Community College","2015","82","44","54",,
"420723","Tillamook Bay Community College","2015","65","29","45",,
"423652","Oregon Coast Community College","2015","44","21","48",,
"428392","Klamath Community College","2015","115","60","52",,
"440828","Oregon State University-Cascades Campus","2015","0","0",,"208","53"
